"Plot Title: 10350065"
"#","Date Time, GMT+01:00","Line 1 Open (LGR S/N: 10350065)","Coupler Detached (LGR S/N: 10350065)","Stopped (LGR S/N: 10350065)","Coupler Attached (LGR S/N: 10350065)","Good Battery (LGR S/N: 10350065)","Line 2 Open (LGR S/N: 10350065)","Started (LGR S/N: 10350065)","Ext. Line Event (LGR S/N: 10350065)","Line 1 Closed (LGR S/N: 10350065)","Line 3 Open (LGR S/N: 10350065)","Interval Change (LGR S/N: 10350065)","Bad Battery (LGR S/N: 10350065)","Line 3 Closed (LGR S/N: 10350065)","Custom Event (LGR S/N: 10350065)","Line 2 Closed (LGR S/N: 10350065)","End Of File (LGR S/N: 10350065)"
285,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
286,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
287,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
288,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
289,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
290,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
291,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
292,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
293,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
294,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
295,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
296,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
297,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
298,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
299,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
300,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
301,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
302,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
303,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
304,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
305,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
306,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
307,01/01/1970 12:00:00 AM,,Logged,,,,,,,,,,,,,,
