date_time,th,origin
2022-12-23 13:00:00,14.1118,H
2022-12-23 14:00:00,14.176,H
2022-12-23 15:00:00,14.384,H
2022-12-23 16:00:00,14.6395,H
2022-12-23 17:00:00,14.4,H
2022-12-23 18:00:00,13.8715,H
2022-12-23 19:00:00,14.464,H
2022-12-23 20:00:00,14.6078,H
2022-12-23 21:00:00,14.5758,H
2022-12-23 22:00:00,14.016,H
2022-12-23 23:00:00,13.791,H
2022-12-24 00:00:00,13.5508,H
2022-12-24 01:00:00,13.3258,H
2022-12-24 02:00:00,12.9073,H
2022-12-24 03:00:00,12.682,H
2022-12-24 04:00:00,12.2295,H
2022-12-24 05:00:00,12.181,H
2022-12-24 06:00:00,12.1002,H
2022-12-24 07:00:00,11.9223,H
2022-12-24 08:00:00,11.7768,H
2022-12-24 09:00:00,12.2295,H
2022-12-24 10:00:00,13.3735,H
2022-12-24 11:00:00,13.4537,H
2022-12-24 12:00:00,14.911,H
2022-12-24 13:00:00,13.7912,H
2022-12-24 14:00:00,13.5025,H
2022-12-24 15:00:00,12.8592,H
2022-12-24 16:00:00,12.375,H
2022-12-24 17:00:00,11.6455,H
2022-12-24 18:00:00,11.1753,H
2022-12-24 19:00:00,10.8333,H
2022-12-24 20:00:00,10.5557,H
2022-12-24 21:00:00,9.9488,H
2022-12-24 22:00:00,9.3067,H
2022-12-24 23:00:00,9.307,H
2022-12-25 00:00:00,9.439,H
2022-12-25 01:00:00,9.1247,H
2022-12-25 02:00:00,9.0585,H
2022-12-25 03:00:00,9.075,H
2022-12-25 04:00:00,9.009,H
2022-12-25 05:00:00,8.9263,H
2022-12-25 06:00:00,8.8432,H
2022-12-25 07:00:00,8.11,H
2022-12-25 08:00:00,7.3565,H
2022-12-25 09:00:00,7.524,H
2022-12-25 10:00:00,10.0927,H
2022-12-25 11:00:00,12.0352,H
2022-12-25 12:00:00,12.9387,H
2022-12-25 13:00:00,14.9585,H
2022-12-25 14:00:00,14.4318,H
2022-12-25 15:00:00,14.6715,H
2022-12-25 16:00:00,13.7592,H
2022-12-25 17:00:00,14.7193,H
2022-12-25 18:00:00,14.432,H
2022-12-25 19:00:00,14.6077,H
2022-12-25 20:00:00,14.512,H
2022-12-25 21:00:00,14.416,H
2022-12-25 22:00:00,14.4638,H
2022-12-25 23:00:00,14.8632,H
2022-12-26 00:00:00,14.8472,H
2022-12-26 01:00:00,15.1345,H
2022-12-26 02:00:00,15.0708,H
2022-12-26 03:00:00,14.991,H
2022-12-26 04:00:00,14.991,H
2022-12-26 05:00:00,15.278,H
2022-12-26 06:00:00,15.1823,H
2022-12-26 07:00:00,14.9907,H
2022-12-26 08:00:00,15.0065,H
2022-12-26 09:00:00,12.1638,H
2022-12-26 10:00:00,11.5982,H
2022-12-26 11:00:00,11.2405,H
2022-12-26 12:00:00,10.768,H
2022-12-26 13:00:00,10.2447,H
2022-12-26 14:00:00,10.2447,H
2022-12-26 15:00:00,10.719,H
