"","id","dttm","temp","lux"
"348",630,2021-12-15 09:50:00,4.415,1377.8
"349",631,2021-12-15 10:00:00,4.415,1463.9
"350",632,2021-12-15 10:10:00,4.623,1722.2
"351",633,2021-12-15 10:20:00,4.519,1808.3
"352",634,2021-12-15 10:30:00,4.727,2669.5
"353",635,2021-12-15 10:40:00,4.831,2755.6
"354",636,2021-12-15 10:50:00,5.037,3444.5
"355",637,2021-12-15 11:00:00,5.244,4305.6
"356",638,2021-12-15 11:10:00,5.552,3961.1
"357",639,2021-12-15 11:20:00,5.655,4305.6
"358",640,2021-12-15 11:30:00,5.655,4133.4
"359",641,2021-12-15 11:40:00,5.655,4477.8
"360",642,2021-12-15 11:50:00,5.655,4305.6
"361",643,2021-12-15 12:00:00,5.552,4822.3
"362",644,2021-12-15 12:10:00,5.552,4650
"363",645,2021-12-15 12:20:00,5.655,4477.8
"364",646,2021-12-15 12:30:00,5.655,4994.5
"365",647,2021-12-15 12:40:00,5.552,4133.4
"366",648,2021-12-15 12:50:00,5.552,3272.2
"367",649,2021-12-15 13:00:00,5.757,3444.5
"368",650,2021-12-15 13:10:00,5.757,2927.8
"369",651,2021-12-15 13:20:00,5.655,2927.8
"370",652,2021-12-15 13:30:00,5.655,2755.6
"371",653,2021-12-15 13:40:00,5.757,2755.6
"372",654,2021-12-15 13:50:00,5.655,2669.5
"373",655,2021-12-15 14:00:00,5.655,2238.9
"374",656,2021-12-15 14:10:00,5.757,2325
"375",657,2021-12-15 14:20:00,5.86,2411.1
"376",658,2021-12-15 14:30:00,5.86,2066.7
"377",659,2021-12-15 14:40:00,5.655,1377.8
"378",660,2021-12-15 14:50:00,5.757,1237.9
"379",661,2021-12-15 15:00:00,5.552,1237.9
"380",662,2021-12-15 15:10:00,5.45,1119.5
"381",663,2021-12-15 15:20:00,5.45,936.5
"382",664,2021-12-15 15:30:00,5.45,861.1
"383",665,2021-12-15 15:40:00,5.45,602.8
"384",666,2021-12-15 15:50:00,5.347,462.9
"385",667,2021-12-15 16:00:00,5.244,409
"386",668,2021-12-15 16:10:00,5.244,312.2
"387",669,2021-12-15 16:20:00,5.141,129.2
"388",670,2021-12-15 16:30:00,5.244,86.1
"389",671,2021-12-15 16:40:00,5.141,43.1
"390",672,2021-12-15 16:50:00,5.244,10.8
"391",673,2021-12-15 17:00:00,5.244,0
"392",674,2021-12-15 17:10:00,5.347,0
"393",675,2021-12-15 17:20:00,5.347,0
"394",676,2021-12-15 17:30:00,5.347,0
"395",677,2021-12-15 17:40:00,5.244,0
"396",678,2021-12-15 17:50:00,5.244,0
"397",679,2021-12-15 18:00:00,5.141,0
"398",680,2021-12-15 18:10:00,5.141,0
"399",681,2021-12-15 18:20:00,5.141,0
"400",682,2021-12-15 18:30:00,5.244,0
"401",683,2021-12-15 18:40:00,5.347,0
"402",684,2021-12-15 18:50:00,5.45,0
"403",685,2021-12-15 19:00:00,5.45,0
"404",686,2021-12-15 19:10:00,5.45,0
"405",687,2021-12-15 19:20:00,5.552,0
"406",688,2021-12-15 19:30:00,5.655,0
"407",689,2021-12-15 19:40:00,5.552,0
"408",690,2021-12-15 19:50:00,5.552,0
"409",691,2021-12-15 20:00:00,5.552,0
