"Plot-Titel: 10347367"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347367, SEN S/N: 10347367)","Intensität, Lux (LGR S/N: 10347367, SEN S/N: 10347367)","Dateiende (LGR S/N: 10347367)"
377,11.30.22 02:02:40 AM,19.948,0.0,
378,11.30.22 02:02:50 AM,19.948,0.0,
379,11.30.22 02:03:00 AM,19.948,0.0,
380,11.30.22 02:03:10 AM,19.948,0.0,
381,11.30.22 02:03:20 AM,19.948,0.0,
382,11.30.22 02:03:30 AM,19.948,0.0,
383,11.30.22 02:03:40 AM,19.948,0.0,
384,11.30.22 02:03:50 AM,19.948,0.0,
385,11.30.22 02:04:00 AM,19.948,0.0,
386,11.30.22 02:04:10 AM,19.948,0.0,
387,11.30.22 02:04:20 AM,19.948,0.0,
388,11.30.22 02:04:30 AM,19.948,0.0,
389,11.30.22 02:04:40 AM,19.948,0.0,
390,11.30.22 02:04:50 AM,19.948,0.0,
391,11.30.22 02:05:00 AM,19.948,0.0,
392,11.30.22 02:05:10 AM,19.948,0.0,
393,11.30.22 02:05:20 AM,19.948,0.0,
394,11.30.22 02:05:30 AM,19.948,0.0,
395,11.30.22 02:05:40 AM,19.948,0.0,
396,11.30.22 02:05:50 AM,19.948,0.0,
397,11.30.22 02:06:00 AM,19.948,0.0,
398,11.30.22 02:06:10 AM,19.948,0.0,
399,11.30.22 02:06:20 AM,19.948,0.0,
400,11.30.22 02:06:30 AM,19.948,0.0,
401,11.30.22 02:06:40 AM,19.948,0.0,
402,11.30.22 02:06:50 AM,19.948,0.0,
403,11.30.22 02:07:00 AM,19.948,0.0,
404,11.30.22 02:07:10 AM,19.948,0.0,
405,11.30.22 02:07:20 AM,19.948,0.0,
406,11.30.22 02:07:30 AM,19.948,0.0,
407,11.30.22 02:07:40 AM,19.948,0.0,
408,11.30.22 02:07:50 AM,19.948,0.0,
409,11.30.22 02:08:00 AM,19.948,0.0,
410,11.30.22 02:08:10 AM,19.948,0.0,
411,11.30.22 02:08:20 AM,19.948,0.0,
412,11.30.22 02:08:30 AM,19.948,0.0,
413,11.30.22 02:08:40 AM,19.948,0.0,
414,11.30.22 02:08:50 AM,19.853,0.0,
415,11.30.22 02:09:00 AM,19.948,0.0,
416,11.30.22 02:09:10 AM,19.948,0.0,
417,11.30.22 02:09:20 AM,19.948,0.0,
418,11.30.22 02:09:30 AM,19.948,0.0,
419,11.30.22 02:09:40 AM,19.948,0.0,
420,11.30.22 02:09:50 AM,19.948,0.0,
421,11.30.22 02:10:00 AM,19.948,0.0,
422,11.30.22 02:10:10 AM,19.948,0.0,
423,11.30.22 02:10:20 AM,19.948,0.0,
424,11.30.22 02:10:30 AM,19.948,0.0,
425,11.30.22 02:10:40 AM,19.948,0.0,
426,11.30.22 02:10:50 AM,19.948,0.0,
427,11.30.22 02:11:00 AM,19.948,0.0,
428,11.30.22 02:11:10 AM,19.948,0.0,
429,11.30.22 02:11:20 AM,19.948,0.0,
430,11.30.22 02:11:30 AM,19.948,0.0,
431,11.30.22 02:11:40 AM,19.948,0.0,
432,11.30.22 02:11:50 AM,19.948,0.0,
433,11.30.22 02:12:00 AM,19.948,0.0,
434,11.30.22 02:12:10 AM,19.948,0.0,
435,11.30.22 02:12:20 AM,19.948,0.0,
436,11.30.22 02:12:30 AM,19.853,0.0,
437,11.30.22 02:12:40 AM,19.948,0.0,
438,11.30.22 02:12:50 AM,19.948,0.0,
439,11.30.22 02:13:00 AM,19.948,0.0,
440,11.30.22 02:13:10 AM,19.948,0.0,
441,11.30.22 02:13:20 AM,19.853,0.0,
442,11.30.22 02:13:30 AM,19.948,0.0,
443,11.30.22 02:13:40 AM,19.948,0.0,
444,11.30.22 02:13:50 AM,19.853,0.0,
445,11.30.22 02:14:00 AM,19.853,0.0,
446,11.30.22 02:14:10 AM,19.948,0.0,
447,11.30.22 02:14:20 AM,19.853,0.0,
448,11.30.22 02:14:30 AM,19.948,0.0,
449,11.30.22 02:14:40 AM,19.853,0.0,
450,11.30.22 02:14:50 AM,19.948,0.0,
451,11.30.22 02:15:00 AM,19.948,0.0,
452,11.30.22 02:15:10 AM,19.948,0.0,
453,11.30.22 02:15:20 AM,19.948,0.0,
454,11.30.22 02:15:30 AM,19.853,0.0,
455,11.30.22 02:15:40 AM,19.948,0.0,
456,11.30.22 02:15:50 AM,19.948,0.0,
457,11.30.22 02:16:00 AM,19.948,0.0,
458,11.30.22 02:16:10 AM,19.853,0.0,
459,11.30.22 02:16:20 AM,19.948,0.0,
460,11.30.22 02:16:30 AM,19.948,0.0,
461,11.30.22 02:16:40 AM,19.948,0.0,
462,11.30.22 02:16:50 AM,19.853,0.0,
463,11.30.22 02:17:00 AM,19.948,0.0,
464,11.30.22 02:17:10 AM,19.853,0.0,
465,11.30.22 02:17:20 AM,19.948,0.0,
466,11.30.22 02:17:30 AM,19.853,0.0,
467,11.30.22 02:17:40 AM,19.853,0.0,
468,11.30.22 02:17:50 AM,19.853,0.0,
469,11.30.22 02:18:00 AM,19.853,0.0,
470,11.30.22 02:18:10 AM,19.948,0.0,
471,11.30.22 02:18:20 AM,19.853,0.0,
472,11.30.22 02:18:30 AM,19.853,0.0,
473,11.30.22 02:18:40 AM,19.853,0.0,
474,11.30.22 02:18:50 AM,19.853,0.0,
475,11.30.22 02:19:00 AM,19.853,0.0,
476,11.30.22 02:19:10 AM,19.853,0.0,
477,11.30.22 02:19:20 AM,19.853,0.0,
478,11.30.22 02:19:30 AM,19.853,0.0,
479,11.30.22 02:19:40 AM,19.853,0.0,
480,11.30.22 02:19:50 AM,19.853,0.0,
481,11.30.22 02:20:00 AM,19.853,0.0,
482,11.30.22 02:20:10 AM,19.853,0.0,
483,11.30.22 02:20:20 AM,19.853,0.0,
484,11.30.22 02:20:30 AM,19.853,0.0,
485,11.30.22 02:20:40 AM,19.853,0.0,
486,11.30.22 02:20:50 AM,19.853,0.0,
487,11.30.22 02:21:00 AM,19.853,0.0,
488,11.30.22 02:21:10 AM,19.853,0.0,
489,11.30.22 02:21:20 AM,19.853,0.0,
490,11.30.22 02:21:30 AM,19.853,0.0,
491,11.30.22 02:21:40 AM,19.853,0.0,
492,11.30.22 02:21:50 AM,19.853,0.0,
493,11.30.22 02:22:00 AM,19.853,0.0,
494,11.30.22 02:22:10 AM,19.853,0.0,
495,11.30.22 02:22:20 AM,19.853,0.0,
496,11.30.22 02:22:30 AM,19.853,0.0,
497,11.30.22 02:22:40 AM,19.853,0.0,
498,11.30.22 02:22:50 AM,19.853,0.0,
499,11.30.22 02:23:00 AM,19.853,0.0,
500,11.30.22 02:23:10 AM,19.853,0.0,
501,11.30.22 02:23:20 AM,19.853,0.0,
502,11.30.22 02:23:30 AM,19.853,0.0,
503,11.30.22 02:23:40 AM,19.853,0.0,
504,11.30.22 02:23:50 AM,19.853,0.0,
505,11.30.22 02:24:00 AM,19.853,0.0,
506,11.30.22 02:24:10 AM,19.853,0.0,
