"Plot Title: 10350004"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350004, SEN S/N: 10350004)","Intensity, Lux (LGR S/N: 10350004, SEN S/N: 10350004)","Good Battery (LGR S/N: 10350004)","Coupler Attached (LGR S/N: 10350004)","Host Connected (LGR S/N: 10350004)","Stopped (LGR S/N: 10350004)","End Of File (LGR S/N: 10350004)"
235,12/15/2019 03:00:00 PM,12.980,958.0,,,,,
236,12/15/2019 03:10:00 PM,12.883,1216.3,,,,,
237,12/15/2019 03:20:00 PM,12.787,958.0,,,,,
238,12/15/2019 03:30:00 PM,12.690,678.1,,,,,
239,12/15/2019 03:40:00 PM,12.594,538.2,,,,,
240,12/15/2019 03:50:00 PM,12.497,279.9,,,,,
241,12/15/2019 04:00:00 PM,12.401,129.2,,,,,
242,12/15/2019 04:10:00 PM,12.304,107.6,,,,,
243,12/15/2019 04:20:00 PM,12.207,43.1,,,,,
244,12/15/2019 04:30:00 PM,12.013,10.8,,,,,
245,12/15/2019 04:40:00 PM,11.819,0.0,,,,,
246,12/15/2019 04:50:00 PM,11.625,0.0,,,,,
247,12/15/2019 05:00:00 PM,11.431,0.0,,,,,
248,12/15/2019 05:10:00 PM,11.236,0.0,,,,,
249,12/15/2019 05:20:00 PM,11.041,0.0,,,,,
250,12/15/2019 05:30:00 PM,10.846,0.0,,,,,
251,12/15/2019 05:40:00 PM,10.748,0.0,,,,,
252,12/15/2019 05:50:00 PM,10.651,0.0,,,,,
253,12/15/2019 06:00:00 PM,10.455,0.0,,,,,
254,12/15/2019 06:10:00 PM,10.259,0.0,,,,,
255,12/15/2019 06:20:00 PM,10.161,0.0,,,,,
256,12/15/2019 06:30:00 PM,10.161,0.0,,,,,
257,12/15/2019 06:40:00 PM,10.063,0.0,,,,,
258,12/15/2019 06:50:00 PM,10.161,0.0,,,,,
259,12/15/2019 07:00:00 PM,10.063,0.0,,,,,
260,12/15/2019 07:10:00 PM,9.965,0.0,,,,,
261,12/15/2019 07:20:00 PM,9.965,0.0,,,,,
262,12/15/2019 07:30:00 PM,9.965,0.0,,,,,
263,12/15/2019 07:40:00 PM,9.866,0.0,,,,,
264,12/15/2019 07:50:00 PM,9.866,0.0,,,,,
265,12/15/2019 08:00:00 PM,9.768,0.0,,,,,
266,12/15/2019 08:10:00 PM,9.768,0.0,,,,,
267,12/15/2019 08:20:00 PM,9.669,0.0,,,,,
268,12/15/2019 08:30:00 PM,9.571,0.0,,,,,
269,12/15/2019 08:40:00 PM,9.373,0.0,,,,,
270,12/15/2019 08:50:00 PM,9.275,0.0,,,,,
271,12/15/2019 09:00:00 PM,9.077,0.0,,,,,
272,12/15/2019 09:10:00 PM,9.077,0.0,,,,,
273,12/15/2019 09:20:00 PM,9.176,0.0,,,,,
274,12/15/2019 09:30:00 PM,9.176,0.0,,,,,
275,12/15/2019 09:40:00 PM,9.275,0.0,,,,,
276,12/15/2019 09:50:00 PM,9.077,0.0,,,,,
277,12/15/2019 10:00:00 PM,9.373,0.0,,,,,
278,12/15/2019 10:10:00 PM,9.472,0.0,,,,,
279,12/15/2019 10:20:00 PM,9.571,0.0,,,,,
280,12/15/2019 10:30:00 PM,9.669,0.0,,,,,
281,12/15/2019 10:40:00 PM,9.768,0.0,,,,,
282,12/15/2019 10:50:00 PM,9.866,0.0,,,,,
283,12/15/2019 11:00:00 PM,9.866,0.0,,,,,
284,12/15/2019 11:10:00 PM,9.669,0.0,,,,,
285,12/15/2019 11:20:00 PM,9.669,0.0,,,,,
286,12/15/2019 11:30:00 PM,9.373,0.0,,,,,
287,12/15/2019 11:40:00 PM,9.077,0.0,,,,,
288,12/15/2019 11:50:00 PM,8.779,0.0,,,,,
289,12/16/2019 12:00:00 AM,8.680,0.0,,,,,
290,12/16/2019 12:10:00 AM,8.680,0.0,,,,,
291,12/16/2019 12:20:00 AM,8.680,0.0,,,,,
292,12/16/2019 12:30:00 AM,8.779,0.0,,,,,
293,12/16/2019 12:40:00 AM,9.176,0.0,,,,,
294,12/16/2019 12:50:00 AM,9.176,0.0,,,,,
295,12/16/2019 01:00:00 AM,9.373,0.0,,,,,
296,12/16/2019 01:10:00 AM,9.669,0.0,,,,,
297,12/16/2019 01:20:00 AM,9.866,0.0,,,,,
298,12/16/2019 01:30:00 AM,9.866,0.0,,,,,
299,12/16/2019 01:40:00 AM,9.669,0.0,,,,,
300,12/16/2019 01:50:00 AM,9.472,0.0,,,,,
301,12/16/2019 02:00:00 AM,9.373,0.0,,,,,
