id	date	time	temp	lux
461	2017-12-16	14:20:00	4.102	1227.1
462	2017-12-16	14:25:00	4.207	1345.5
463	2017-12-16	14:30:00	4.207	871.9
464	2017-12-16	14:35:00	4.102	678.1
465	2017-12-16	14:40:00	4.207	645.8
466	2017-12-16	14:45:00	4.415	1001
467	2017-12-16	14:50:00	4.519	1291.7
468	2017-12-16	14:55:00	4.727	1237.9
469	2017-12-16	15:00:00	4.727	1463.9
470	2017-12-16	15:05:00	4.623	1345.5
471	2017-12-16	15:10:00	4.519	1033.3
472	2017-12-16	15:15:00	4.727	1022.6
473	2017-12-16	15:20:00	4.623	1087.2
474	2017-12-16	15:25:00	4.727	947.2
475	2017-12-16	15:30:00	4.831	775
476	2017-12-16	15:35:00	4.727	775
477	2017-12-16	15:40:00	4.623	570.5
478	2017-12-16	15:45:00	4.519	527.4
479	2017-12-16	15:50:00	4.519	452.1
480	2017-12-16	15:55:00	4.519	258.3
481	2017-12-16	16:00:00	4.519	150.7
482	2017-12-16	16:05:00	4.415	129.2
483	2017-12-16	16:10:00	4.311	75.3
484	2017-12-16	16:15:00	4.415	64.6
485	2017-12-16	16:20:00	4.311	53.8
486	2017-12-16	16:25:00	4.311	32.3
487	2017-12-16	16:30:00	4.415	43.1
488	2017-12-16	16:35:00	4.415	21.5
489	2017-12-16	16:40:00	4.311	10.8
490	2017-12-16	16:45:00	4.415	0
491	2017-12-16	16:50:00	4.415	0
492	2017-12-16	16:55:00	4.415	0
493	2017-12-16	17:00:00	4.415	0
494	2017-12-16	17:05:00	4.415	0
495	2017-12-16	17:10:00	4.519	0
496	2017-12-16	17:15:00	4.623	0
497	2017-12-16	17:20:00	4.207	0
498	2017-12-16	17:25:00	4.207	0
499	2017-12-16	17:30:00	4.207	0
500	2017-12-16	17:35:00	4.207	0
501	2017-12-16	17:40:00	3.998	0
502	2017-12-16	17:45:00	3.893	0
503	2017-12-16	17:50:00	4.102	0
504	2017-12-16	17:55:00	4.415	0
505	2017-12-16	18:00:00	4.519	0
506	2017-12-16	18:05:00	4.519	0
507	2017-12-16	18:10:00	3.998	0
508	2017-12-16	18:15:00	3.683	0
509	2017-12-16	18:20:00	3.578	0
510	2017-12-16	18:25:00	4.311	0
511	2017-12-16	18:30:00	4.415	0
512	2017-12-16	18:35:00	4.623	0
513	2017-12-16	18:40:00	4.519	0
514	2017-12-16	18:45:00	3.893	0
515	2017-12-16	18:50:00	3.472	0
516	2017-12-16	18:55:00	3.367	0
517	2017-12-16	19:00:00	3.367	0
518	2017-12-16	19:05:00	3.472	0
519	2017-12-16	19:10:00	4.415	0
520	2017-12-16	19:15:00	4.727	0
521	2017-12-16	19:20:00	4.519	0
522	2017-12-16	19:25:00	4.311	0
523	2017-12-16	19:30:00	4.311	0
524	2017-12-16	19:35:00	4.207	0
525	2017-12-16	19:40:00	3.998	0
526	2017-12-16	19:45:00	4.102	0
527	2017-12-16	19:50:00	4.207	0
528	2017-12-16	19:55:00	4.207	0
529	2017-12-16	20:00:00	4.207	0
530	2017-12-16	20:05:00	4.102	0
531	2017-12-16	20:10:00	3.998	0
532	2017-12-16	20:15:00	3.998	0
533	2017-12-16	20:20:00	3.998	0
534	2017-12-16	20:25:00	3.998	0
535	2017-12-16	20:30:00	3.893	0
536	2017-12-16	20:35:00	3.893	0
537	2017-12-16	20:40:00	3.893	0
538	2017-12-16	20:45:00	4.102	0
539	2017-12-16	20:50:00	4.102	0
540	2017-12-16	20:55:00	4.207	0
541	2017-12-16	21:00:00	4.519	0
542	2017-12-16	21:05:00	4.519	0
543	2017-12-16	21:10:00	4.519	0
544	2017-12-16	21:15:00	4.415	0
545	2017-12-16	21:20:00	4.519	0
546	2017-12-16	21:25:00	4.519	0
547	2017-12-16	21:30:00	4.207	0
548	2017-12-16	21:35:00	3.788	0
549	2017-12-16	21:40:00	3.788	0
550	2017-12-16	21:45:00	3.683	0
551	2017-12-16	21:50:00	3.578	0
552	2017-12-16	21:55:00	3.367	0
553	2017-12-16	22:00:00	3.261	0
554	2017-12-16	22:05:00	3.155	0
555	2017-12-16	22:10:00	3.155	0
556	2017-12-16	22:15:00	2.943	0
557	2017-12-16	22:20:00	2.943	0
