"Plot Title: Experiment"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347321, SEN S/N: 10347321)","Intensity, Lux (LGR S/N: 10347321, SEN S/N: 10347321)","Bad Battery (LGR S/N: 10347321)","Coupler Attached (LGR S/N: 10347321)","Host Connected (LGR S/N: 10347321)","Stopped (LGR S/N: 10347321)","End Of File (LGR S/N: 10347321)"
437,14/12/2021 01:40:00,2.730,0.0,,,,,
438,14/12/2021 01:50:00,2.624,0.0,,,,,
439,14/12/2021 02:00:00,2.517,0.0,,,,,
440,14/12/2021 02:10:00,2.517,0.0,,,,,
441,14/12/2021 02:20:00,2.410,0.0,,,,,
442,14/12/2021 02:30:00,2.410,0.0,,,,,
443,14/12/2021 02:40:00,2.624,0.0,,,,,
444,14/12/2021 02:50:00,2.517,0.0,,,,,
445,14/12/2021 03:00:00,2.303,0.0,,,,,
446,14/12/2021 03:10:00,2.195,0.0,,,,,
447,14/12/2021 03:20:00,2.088,0.0,,,,,
448,14/12/2021 03:30:00,2.088,0.0,,,,,
449,14/12/2021 03:40:00,1.872,0.0,,,,,
450,14/12/2021 03:50:00,1.656,0.0,,,,,
451,14/12/2021 04:00:00,1.656,0.0,,,,,
452,14/12/2021 04:10:00,1.439,0.0,,,,,
453,14/12/2021 04:20:00,1.330,0.0,,,,,
454,14/12/2021 04:30:00,1.112,0.0,,,,,
455,14/12/2021 04:40:00,0.784,0.0,,,,,
456,14/12/2021 04:50:00,0.784,0.0,,,,,
457,14/12/2021 05:00:00,0.893,0.0,,,,,
458,14/12/2021 05:10:00,1.003,0.0,,,,,
459,14/12/2021 05:20:00,1.330,0.0,,,,,
460,14/12/2021 05:30:00,1.548,0.0,,,,,
461,14/12/2021 05:40:00,1.656,0.0,,,,,
