,dttm,th,origin
283,2021-12-24 18:00:00,9.899,H
284,2021-12-24 19:00:00,10.0955,H
285,2021-12-24 20:00:00,9.89916666666667,H
286,2021-12-24 21:00:00,9.735,H
287,2021-12-24 22:00:00,9.70233333333333,H
288,2021-12-24 23:00:00,8.994,H
289,2021-12-25 00:00:00,9.20833333333333,H
290,2021-12-25 01:00:00,9.47183333333333,H
291,2021-12-25 02:00:00,10.3566666666667,H
292,2021-12-25 03:00:00,10.6505,H
293,2021-12-25 04:00:00,10.5366666666667,H
294,2021-12-25 05:00:00,10.5693333333333,H
295,2021-12-25 06:00:00,10.553,H
296,2021-12-25 07:00:00,10.5203333333333,H
297,2021-12-25 08:00:00,10.5693333333333,H
298,2021-12-25 09:00:00,10.8296666666667,H
299,2021-12-25 10:00:00,11.1063333333333,H
300,2021-12-25 11:00:00,11.7541666666667,H
301,2021-12-25 12:00:00,12.1421666666667,H
302,2021-12-25 13:00:00,11.7543333333333,H
303,2021-12-25 14:00:00,11.6411666666667,H
304,2021-12-25 15:00:00,11.1386666666667,H
305,2021-12-25 16:00:00,10.2258333333333,H
306,2021-12-25 17:00:00,9.27483333333333,H
307,2021-12-25 18:00:00,8.8955,H
308,2021-12-25 19:00:00,8.60783,R
309,2021-12-25 20:00:00,8.56416666666667,H
310,2021-12-25 21:00:00,8.29866666666667,H
311,2021-12-25 22:00:00,8.216138,R
312,2021-12-25 23:00:00,8.46466666666667,H
313,2021-12-26 00:00:00,8.26533333333333,H
314,2021-12-26 01:00:00,7.0105,H
315,2021-12-26 02:00:00,6.13183333333333,H
316,2021-12-26 03:00:00,5.39816666666667,H
317,2021-12-26 04:00:00,5.244,H
318,2021-12-26 05:00:00,5.10633333333333,H
319,2021-12-26 06:00:00,5.03733333333333,H
320,2021-12-26 07:00:00,4.86533333333333,H
321,2021-12-26 08:00:00,4.95133333333333,H
322,2021-12-26 09:00:00,5.36333333333333,H
323,2021-12-26 10:00:00,6.6735,H
324,2021-12-26 11:00:00,7.14533333333333,H
325,2021-12-26 12:00:00,7.397,H
326,2021-12-26 13:00:00,7.84866666666667,H
327,2021-12-26 14:00:00,8.0155,H
328,2021-12-26 15:00:00,8.1985,H
329,2021-12-26 16:00:00,8.39816666666667,H
330,2021-12-26 17:00:00,8.082,H
331,2021-12-26 18:00:00,8.16533333333333,H
332,2021-12-26 19:00:00,8.11583333333333,H
333,2021-12-26 20:00:00,8.0325,H
334,2021-12-26 21:00:00,8.19883333333333,H
335,2021-12-26 22:00:00,8.09883333333333,H
336,2021-12-26 23:00:00,7.98216666666667,H
337,2021-12-27 00:00:00,8.11533333333333,H
338,2021-12-27 01:00:00,8.33183333333333,H
339,2021-12-27 02:00:00,8.0325,H
340,2021-12-27 03:00:00,7.88216666666667,H
341,2021-12-27 04:00:00,7.17933333333333,H
342,2021-12-27 05:00:00,7.129,H
343,2021-12-27 06:00:00,7.062,H
344,2021-12-27 07:00:00,5.58533333333333,H
345,2021-12-27 08:00:00,4.98566666666667,H
346,2021-12-27 09:00:00,4.84766666666667,H
347,2021-12-27 10:00:00,6.75433333333333,H
348,2021-12-27 11:00:00,9.0265,H
349,2021-12-27 12:00:00,9.35683333333333,H
350,2021-12-27 13:00:00,8.94466666666667,H
351,2021-12-27 14:00:00,8.96116666666667,H
352,2021-12-27 15:00:00,9.52116666666667,H
353,2021-12-27 16:00:00,9.15916666666667,H
354,2021-12-27 17:00:00,9.636,H
355,2021-12-27 18:00:00,10.1446666666667,H
356,2021-12-27 19:00:00,9.96466666666667,H
357,2021-12-27 20:00:00,10.1446666666667,H
358,2021-12-27 21:00:00,10.259,H
359,2021-12-27 22:00:00,10.2916666666667,H
360,2021-12-27 23:00:00,10.2426666666667,H
361,2021-12-28 00:00:00,10.2098333333333,H
362,2021-12-28 01:00:00,10.112,H
363,2021-12-28 02:00:00,10.21,H
364,2021-12-28 03:00:00,10.6666666666667,H
365,2021-12-28 04:00:00,10.1113333333333,H
366,2021-12-28 05:00:00,9.66866666666667,H
367,2021-12-28 06:00:00,10.846,H
368,2021-12-28 07:00:00,10.9598333333333,H
369,2021-12-28 08:00:00,11.2036666666667,H
370,2021-12-28 09:00:00,11.5763333333333,H
371,2021-12-28 10:00:00,12.2873333333333,H
372,2021-12-28 11:00:00,13.076,H
373,2021-12-28 12:00:00,13.4131666666667,H
374,2021-12-28 13:00:00,12.7385,H
375,2021-12-28 14:00:00,12.2553333333333,H
376,2021-12-28 15:00:00,12.029,H
377,2021-12-28 16:00:00,10.9915,H
378,2021-12-28 17:00:00,10.569,H
379,2021-12-28 18:00:00,10.5201666666667,H
380,2021-12-28 19:00:00,10.846,H
381,2021-12-28 20:00:00,10.6506666666667,H
382,2021-12-28 21:00:00,10.504,H
383,2021-12-28 22:00:00,10.406,H
384,2021-12-28 23:00:00,10.3243333333333,H
385,2021-12-29 00:00:00,10.1283333333333,H
386,2021-12-29 01:00:00,10.0466666666667,H
387,2021-12-29 02:00:00,9.817,H
388,2021-12-29 03:00:00,9.932,H
389,2021-12-29 04:00:00,9.817,H
390,2021-12-29 05:00:00,9.7185,H
391,2021-12-29 06:00:00,9.65266666666667,H
392,2021-12-29 07:00:00,9.615038,R
393,2021-12-29 08:00:00,9.86616666666667,H
394,2021-12-29 09:00:00,10.259,H
395,2021-12-29 10:00:00,9.94733333333333,H
396,2021-12-29 11:00:00,9.0605,H
397,2021-12-29 12:00:00,9.55383333333333,H
398,2021-12-29 13:00:00,10.03,H
399,2021-12-29 14:00:00,9.99716666666667,H
400,2021-12-29 15:00:00,11.2358333333333,H
401,2021-12-29 16:00:00,11.8028333333333,H
402,2021-12-29 17:00:00,12.3036666666667,H
403,2021-12-29 18:00:00,12.8993333333333,H
404,2021-12-29 19:00:00,13.2206666666667,H
405,2021-12-29 20:00:00,13.686,H
406,2021-12-29 21:00:00,13.718,H
407,2021-12-29 22:00:00,13.702,H
408,2021-12-29 23:00:00,13.702,H
409,2021-12-30 00:00:00,13.6218333333333,H
410,2021-12-30 01:00:00,13.3651666666667,H
411,2021-12-30 02:00:00,13.5096666666667,H
412,2021-12-30 03:00:00,13.654,H
413,2021-12-30 04:00:00,13.878,H
414,2021-12-30 05:00:00,13.974,H
415,2021-12-30 06:00:00,13.7018333333333,H
416,2021-12-30 07:00:00,13.862,H
417,2021-12-30 08:00:00,14.07,H
418,2021-12-30 09:00:00,14.2776666666667,H
419,2021-12-30 10:00:00,14.8678333333333,H
420,2021-12-30 11:00:00,15.6166666666667,H
421,2021-12-30 12:00:00,16.459,H
422,2021-12-30 13:00:00,16.3955,H
423,2021-12-30 14:00:00,15.9506666666667,H
424,2021-12-30 15:00:00,15.5846666666667,H
425,2021-12-30 16:00:00,14.916,H
426,2021-12-30 17:00:00,14.581,H
427,2021-12-30 18:00:00,14.645,H
428,2021-12-30 19:00:00,14.453,H
429,2021-12-30 20:00:00,13.6533333333333,H
430,2021-12-30 21:00:00,11.2833333333333,H
431,2021-12-30 22:00:00,9.669,H
432,2021-12-30 23:00:00,9.0105,H
433,2021-12-31 00:00:00,8.232,H
434,2021-12-31 01:00:00,7.56483333333333,H
435,2021-12-31 02:00:00,7.17933333333333,H
436,2021-12-31 03:00:00,7.045,H
437,2021-12-31 04:00:00,6.471,H
438,2021-12-31 05:00:00,6.47116666666667,H
439,2021-12-31 06:00:00,5.8425,H
440,2021-12-31 07:00:00,5.22666666666667,H
441,2021-12-31 08:00:00,4.86533333333333,H
442,2021-12-31 09:00:00,5.226,H
443,2021-12-31 10:00:00,7.24383333333333,H
444,2021-12-31 11:00:00,8.96083333333333,H
445,2021-12-31 12:00:00,10.6301666666667,H
446,2021-12-31 13:00:00,12.440816,R
447,2021-12-31 14:00:00,16.03,H
448,2021-12-31 15:00:00,15.6481666666667,H
449,2021-12-31 16:00:00,14.9,H
450,2021-12-31 17:00:00,13.9738333333333,H
451,2021-12-31 18:00:00,13.7818333333333,H
452,2021-12-31 19:00:00,12.7221666666667,H
453,2021-12-31 20:00:00,13.285,H
454,2021-12-31 21:00:00,12.4646666666667,H
455,2021-12-31 22:00:00,12.013,H
456,2021-12-31 23:00:00,9.86316666666667,H
457,2022-01-01 00:00:00,7.88216666666667,H
458,2022-01-01 01:00:00,6.82533333333333,H
459,2022-01-01 02:00:00,6.04666666666667,H
460,2022-01-01 03:00:00,5.56916666666667,H
461,2022-01-01 04:00:00,5.34633333333333,H
462,2022-01-01 05:00:00,5.07133333333333,H
463,2022-01-01 06:00:00,4.38033333333333,H
464,2022-01-01 07:00:00,4.0675,H
465,2022-01-01 08:00:00,3.99783333333333,H
466,2022-01-01 09:00:00,4.50116666666667,H
467,2022-01-01 10:00:00,6.38466666666667,H
468,2022-01-01 11:00:00,8.42933333333333,H
469,2022-01-01 12:00:00,10.3726666666667,H
470,2022-01-01 13:00:00,11.8835,H
471,2022-01-01 14:00:00,12.336,H
472,2022-01-01 15:00:00,11.5271666666667,H
473,2022-01-01 16:00:00,9.63533333333333,H
474,2022-01-01 17:00:00,7.99833333333333,H
475,2022-01-01 18:00:00,6.67416666666667,H
476,2022-01-01 19:00:00,6.217,H
477,2022-01-01 20:00:00,5.9785,H
478,2022-01-01 21:00:00,5.501,H
479,2022-01-01 22:00:00,4.7615,H
480,2022-01-01 23:00:00,4.692,H
481,2022-01-02 00:00:00,4.44966666666667,H
482,2022-01-02 01:00:00,3.75283333333333,H
483,2022-01-02 02:00:00,3.68283333333333,H
484,2022-01-02 03:00:00,3.349,H
485,2022-01-02 04:00:00,2.943,H
486,2022-01-02 05:00:00,3.049,H
487,2022-01-02 06:00:00,3.36683333333333,H
488,2022-01-02 07:00:00,4.65683333333333,H
489,2022-01-02 08:00:00,4.8305,H
490,2022-01-02 09:00:00,6.415,H
491,2022-01-02 10:00:00,11.7038333333333,H
492,2022-01-02 11:00:00,13.0596666666667,H
493,2022-01-02 12:00:00,14.2615,H
494,2022-01-02 13:00:00,15.7435,H
495,2022-01-02 14:00:00,16.3636666666667,H
496,2022-01-02 15:00:00,15.9345,H
497,2022-01-02 16:00:00,15.2343333333333,H
498,2022-01-02 17:00:00,14.7086666666667,H
499,2022-01-02 18:00:00,14.118,H
500,2022-01-02 19:00:00,13.83,H
501,2022-01-02 20:00:00,13.1563333333333,H
502,2022-01-02 21:00:00,12.658,H
503,2022-01-02 22:00:00,12.433,H
504,2022-01-02 23:00:00,12.497,H
505,2022-01-03 00:00:00,12.226318,R
506,2022-01-03 01:00:00,12.1261666666667,H
507,2022-01-03 02:00:00,11.9968333333333,H
508,2022-01-03 03:00:00,11.8028333333333,H
509,2022-01-03 04:00:00,11.5765,H
510,2022-01-03 05:00:00,11.3336666666667,H
511,2022-01-03 06:00:00,11.1551666666667,H
512,2022-01-03 07:00:00,11.09,H
513,2022-01-03 08:00:00,11.0576666666667,H
514,2022-01-03 09:00:00,11.3983333333333,H
515,2022-01-03 10:00:00,11.7543333333333,H
516,2022-01-03 11:00:00,11.9968333333333,H
517,2022-01-03 12:00:00,12.1585,H
518,2022-01-03 13:00:00,12.3683333333333,H
519,2022-01-03 14:00:00,12.4973333333333,H
520,2022-01-03 15:00:00,12.3683333333333,H
521,2022-01-03 16:00:00,12.1261666666667,H
522,2022-01-03 17:00:00,11.9806666666667,H
523,2022-01-03 18:00:00,11.9806666666667,H
524,2022-01-03 19:00:00,12.0615,H
525,2022-01-03 20:00:00,12.2878333333333,H
526,2022-01-03 21:00:00,12.674,H
527,2022-01-03 22:00:00,12.9638333333333,H
528,2022-01-03 23:00:00,13.0116666666667,H
529,2022-01-04 00:00:00,12.8993333333333,H
530,2022-01-04 01:00:00,12.7061666666667,H
531,2022-01-04 02:00:00,13.1241666666667,H
532,2022-01-04 03:00:00,13.4611666666667,H
533,2022-01-04 04:00:00,13.2848333333333,H
534,2022-01-04 05:00:00,12.449,H
535,2022-01-04 06:00:00,12.6903333333333,H
