dttm,my_hobo
2022-01-04 14:00:00,13.6217
2022-01-04 15:00:00,12.4165
2022-01-04 16:00:00,12.2717
2022-01-04 17:00:00,12.1747
2022-01-04 18:00:00,8.9597
2022-01-04 19:00:00,7.682
2022-01-04 20:00:00,6.9602
2022-01-04 21:00:00,6.183
2022-01-04 22:00:00,5.962
2022-01-04 23:00:00,5.996
2022-01-05 00:00:00,5.689
2022-01-05 01:00:00,5.9108
2022-01-05 02:00:00,6.2168
2022-01-05 03:00:00,6.6403
2022-01-05 04:00:00,6.826
2022-01-05 05:00:00,6.6742
2022-01-05 06:00:00,6.0452
2022-01-05 07:00:00,4.8825
2022-01-05 08:00:00,4.519
2022-01-05 09:00:00,3.8053
2022-01-05 10:00:00,3.8397
2022-01-05 11:00:00,4.1183
2022-01-05 12:00:00,4.1533
2022-01-05 13:00:00,4.5012
2022-01-05 14:00:00,4.6033
2022-01-05 15:00:00,5.0545
2022-01-05 16:00:00,4.5883
2022-01-05 17:00:00,3.8755
2022-01-05 18:00:00,3.048
2022-01-05 19:00:00,3.2432
2022-01-05 20:00:00,3.5778
2022-01-05 21:00:00,3.6305
2022-01-05 22:00:00,NA
2022-01-05 23:00:00,3.7705
2022-01-06 00:00:00,3.683
2022-01-06 01:00:00,3.753
2022-01-06 02:00:00,3.6128
2022-01-06 03:00:00,3.2255
2022-01-06 04:00:00,2.8545
2022-01-06 05:00:00,2.7835
2022-01-06 06:00:00,2.9783
2022-01-06 07:00:00,2.9252
2022-01-06 08:00:00,2.7657
2022-01-06 09:00:00,2.5882
2022-01-06 10:00:00,2.8365
2022-01-06 11:00:00,3.542
2022-01-06 12:00:00,4.8468
2022-01-06 13:00:00,5.9955
2022-01-06 14:00:00,5.9443
2022-01-06 15:00:00,5.0025
2022-01-06 16:00:00,4.6918
2022-01-06 17:00:00,3.7002
2022-01-06 18:00:00,2.747
2022-01-06 19:00:00,2.0515
2022-01-06 20:00:00,2.1415
2022-01-06 21:00:00,1.6915
2022-01-06 22:00:00,0.6727
2022-01-06 23:00:00,0.2135
2022-01-07 00:00:00,-0.1212
2022-01-07 01:00:00,-0.6815
2022-01-07 02:00:00,-0.0832
2022-01-07 03:00:00,0.1395
2022-01-07 04:00:00,-0.1023
2022-01-07 05:00:00,-1.0575
2022-01-07 06:00:00,-0.3068
2022-01-07 07:00:00,0.416
2022-01-07 08:00:00,0.692
2022-01-07 09:00:00,1.4368
2022-01-07 10:00:00,3.4517
2022-01-07 11:00:00,4.7615
2022-01-07 12:00:00,4.0847
2022-01-07 13:00:00,4.6577
2022-01-07 14:00:00,4.8305
2022-01-07 15:00:00,4.241
2022-01-07 16:00:00,4.4322
2022-01-07 17:00:00,4.2937
2022-01-07 18:00:00,3.207
2022-01-07 19:00:00,3.2433
2022-01-07 20:00:00,NA
2022-01-07 21:00:00,3.4018
2022-01-07 22:00:00,4.0498
2022-01-07 23:00:00,4.0325
2022-01-08 00:00:00,4.864
2022-01-08 01:00:00,5.5525
2022-01-08 02:00:00,5.5692
2022-01-08 03:00:00,4.571
