Logger_id,Location_id,time,PM10,PM25
5001-C1A5,1,2019-01-18 11:18:30+00,13.9,9.7
5001-C1A5,1,2019-01-18 11:18:32+00,13.2,9.7
5001-C1A5,1,2019-01-18 11:18:34+00,12.6,9.6
5001-C1A5,1,2019-01-18 11:18:36+00,12.3,9.6
5001-C1A5,1,2019-01-18 11:18:38+00,12.4,9.7
5001-C1A5,1,2019-01-18 11:18:41+00,13.4,9.8
5001-C1A5,1,2019-01-18 11:18:45+00,13.4,9.8
5001-C1A5,1,2019-01-18 11:18:47+00,13.2,9.9
5001-C1A5,1,2019-01-18 11:18:49+00,13.2,9.8
5001-C1A5,1,2019-01-18 11:18:51+00,13.5,9.8
5001-C1A5,1,2019-01-18 11:18:55+00,12.5,10
5001-C1A5,1,2019-01-18 11:18:57+00,12.3,10.3
5001-C1A5,1,2019-01-18 11:18:59+00,12.4,10.4
5001-C1A5,1,2019-01-18 11:19:00+00,13.1,10.7
5001-C1A5,1,2019-01-18 11:19:04+00,13.8,10.9
5001-C1A5,1,2019-01-18 11:19:06+00,13.9,10.8
5001-C1A5,1,2019-01-18 11:19:08+00,14.2,11
5001-C1A5,1,2019-01-18 11:19:10+00,13.3,11
5001-C1A5,1,2019-01-18 11:19:14+00,13.9,11
5001-C1A5,1,2019-01-18 11:19:16+00,14.4,11
5001-C1A5,1,2019-01-18 11:19:18+00,14.5,10.9
5001-C1A5,1,2019-01-18 11:19:20+00,14.3,10.9
5001-C1A5,1,2019-01-18 11:19:24+00,17.1,10.8
5001-C1A5,1,2019-01-18 11:19:26+00,16.7,10.8
5001-C1A5,1,2019-01-18 11:19:28+00,16.8,10.8
5001-C1A5,1,2019-01-18 11:19:30+00,16.4,10.8
5001-C1A5,1,2019-01-18 11:19:34+00,16,10.8
5001-C1A5,1,2019-01-18 11:19:36+00,16.4,11.1
5001-C1A5,1,2019-01-18 11:19:38+00,17.1,11.1
5001-C1A5,1,2019-01-18 11:19:40+00,17.4,11.1
5001-C1A5,1,2019-01-18 11:19:42+00,17,11.3
5001-C1A5,1,2019-01-18 11:19:44+00,17.1,11.3
5001-C1A5,1,2019-01-18 11:19:46+00,16.9,11.4
5001-C1A5,1,2019-01-18 11:19:48+00,16.8,11.6
