"ID","date","hour","th","origin"
"525",2018-12-31,20,6.454,"H"
"526",2018-12-31,21,6.607,"H"
"527",2018-12-31,22,6.607,"H"
"528",2018-12-31,23,6.321,"R"
"529",2019-01-01,0,6.573,"H"
"530",2019-01-01,1,6.556,"H"
"531",2019-01-01,2,6.353,"H"
"532",2019-01-01,3,6.013,"H"
"533",2019-01-01,4,5.911,"H"
"534",2019-01-01,5,6.2,"H"
"535",2019-01-01,6,6.234,"H"
"536",2019-01-01,7,6.047,"H"
"537",2019-01-01,8,5.655,"H"
"538",2019-01-01,9,6.216,"H"
"539",2019-01-01,10,6.285,"H"
"540",2019-01-01,11,6.454,"H"
"541",2019-01-01,12,6.285,"H"
"542",2019-01-01,13,6.708,"H"
"543",2019-01-01,14,6.961,"H"
"544",2019-01-01,15,6.877,"H"
"545",2019-01-01,16,6.64,"H"
"546",2019-01-01,17,6.336,"H"
"547",2019-01-01,18,6.421,"H"
"548",2019-01-01,19,6.285,"H"
"549",2019-01-01,20,5.948,"R"
"550",2019-01-01,21,5.793,"R"
"551",2019-01-01,22,5.723,"H"
"552",2019-01-01,23,5.672,"H"
"553",2019-01-02,0,5.518,"H"
"554",2019-01-02,1,5.313,"H"
"555",2019-01-02,2,4.801,"R"
"556",2019-01-02,3,4.45,"H"
"557",2019-01-02,4,4.241,"H"
"558",2019-01-02,5,3.49,"H"
"559",2019-01-02,6,3.014,"H"
"560",2019-01-02,7,2.624,"H"
"561",2019-01-02,8,2.535,"H"
"562",2019-01-02,9,2.617,"R"
"563",2019-01-02,10,4.014,"H"
"564",2019-01-02,11,5.123,"H"
"565",2019-01-02,12,5.791,"H"
"566",2019-01-02,13,6.013,"H"
"567",2019-01-02,14,6.047,"H"
"568",2019-01-02,15,5.312,"H"
"569",2019-01-02,16,4.311,"H"
"570",2019-01-02,17,4.363,"H"
"571",2019-01-02,18,4.363,"H"
"572",2019-01-02,19,3.858,"H"
"573",2019-01-02,20,3.577,"H"
"574",2019-01-02,21,2.908,"H"
"575",2019-01-02,22,2.231,"H"
"576",2019-01-02,23,1.002,"H"
"577",2019-01-03,0,0.139,"H"
"578",2019-01-03,1,-0.381,"H"
"579",2019-01-03,2,-0.512,"H"
"580",2019-01-03,3,-0.963,"H"
"581",2019-01-03,4,-1.38,"H"
"582",2019-01-03,5,-1.799,"H"
"583",2019-01-03,6,-2.126,"H"
"584",2019-01-03,7,-2.338,"H"
"585",2019-01-03,8,-2.766,"H"
"586",2019-01-03,9,-2.378,"H"
"587",2019-01-03,10,-1.248,"H"
"588",2019-01-03,11,1.662,"R"
"589",2019-01-03,12,2.552,"H"
"590",2019-01-03,13,2.659,"H"
"591",2019-01-03,14,3.031,"H"
"592",2019-01-03,15,2.783,"H"
"593",2019-01-03,16,2.052,"H"
"594",2019-01-03,17,1.944,"H"
"595",2019-01-03,18,1.926,"H"
