#HOBO_ID 10760810
#Location_Lat_Lon 48.0122 7.853
#Alt_above_ground 4.5
#Exposition N
#Influence_class 2
id	date	time	ta	lux
448	2018-12-12	02:30:00	-0.549	0
449	2018-12-12	02:40:00	-0.662	0
450	2018-12-12	02:50:00	-0.774	0
451	2018-12-12	03:00:00	-0.887	0
452	2018-12-12	03:10:00	-1.001	0
453	2018-12-12	03:20:00	-1.228	0
454	2018-12-12	03:30:00	-1.228	0
455	2018-12-12	03:40:00	-1.341	0
456	2018-12-12	03:50:00	-1.341	0
457	2018-12-12	04:00:00	-1.341	0
458	2018-12-12	04:10:00	-1.57	0
459	2018-12-12	04:20:00	-1.684	0
460	2018-12-12	04:30:00	-1.57	0
461	2018-12-12	04:40:00	-1.456	0
462	2018-12-12	04:50:00	-1.684	0
463	2018-12-12	05:00:00	-1.684	0
464	2018-12-12	05:10:00	-1.799	0
465	2018-12-12	05:20:00	-1.684	0
466	2018-12-12	05:30:00	-1.799	0
467	2018-12-12	05:40:00	-1.799	0
468	2018-12-12	05:50:00	-1.799	0
469	2018-12-12	06:00:00	-1.799	0
470	2018-12-12	06:10:00	-1.914	0
471	2018-12-12	06:20:00	-2.03	0
472	2018-12-12	06:30:00	-2.03	0
473	2018-12-12	06:40:00	-2.03	0
474	2018-12-12	06:50:00	-2.03	0
475	2018-12-12	07:00:00	-2.03	0
476	2018-12-12	07:10:00	-2.145	0
477	2018-12-12	07:20:00	-2.03	0
478	2018-12-12	07:30:00	-1.914	0
479	2018-12-12	07:40:00	-1.799	10.8
480	2018-12-12	07:50:00	-2.03	53.8
481	2018-12-12	08:00:00	-1.914	172.2
482	2018-12-12	08:10:00	-1.914	398.3
483	2018-12-12	08:20:00	-1.914	635.1
484	2018-12-12	08:30:00	-1.914	882.6
485	2018-12-12	08:40:00	-1.684	1087.2
486	2018-12-12	08:50:00	-1.456	1291.7
487	2018-12-12	09:00:00	-1.341	1722.2
488	2018-12-12	09:10:00	-1.228	2066.7
489	2018-12-12	09:20:00	-1.001	2669.5
490	2018-12-12	09:30:00	-0.887	3272.2
491	2018-12-12	09:40:00	-0.437	3616.7
492	2018-12-12	09:50:00	0.232	3961.1
493	2018-12-12	10:00:00	0.784	4305.6
494	2018-12-12	10:10:00	1.112	3788.9
495	2018-12-12	10:20:00	1.33	3616.7
496	2018-12-12	10:30:00	1.439	3444.5
497	2018-12-12	10:40:00	1.439	3272.2
498	2018-12-12	10:50:00	1.439	3272.2
499	2018-12-12	11:00:00	1.656	3616.7
500	2018-12-12	11:10:00	1.872	3444.5
501	2018-12-12	11:20:00	1.872	3616.7
502	2018-12-12	11:30:00	1.872	3616.7
503	2018-12-12	11:40:00	2.088	3444.5
504	2018-12-12	11:50:00	2.195	3616.7
505	2018-12-12	12:00:00	2.303	3616.7
506	2018-12-12	12:10:00	2.41	3444.5
507	2018-12-12	12:20:00	2.517	3616.7
508	2018-12-12	12:30:00	2.624	4133.4
509	2018-12-12	12:40:00	2.624	3444.5
510	2018-12-12	12:50:00	2.624	3444.5
511	2018-12-12	13:00:00	2.943	3961.1
512	2018-12-12	13:10:00	3.367	4477.8
513	2018-12-12	13:20:00	3.998	4822.3
514	2018-12-12	13:30:00	4.207	4305.6
515	2018-12-12	13:40:00	4.207	3788.9
516	2018-12-12	13:50:00	4.311	4305.6
517	2018-12-12	14:00:00	4.311	4133.4
518	2018-12-12	14:10:00	4.102	3100
519	2018-12-12	14:20:00	4.207	3272.2
520	2018-12-12	14:30:00	4.519	3961.1
521	2018-12-12	14:40:00	4.727	4477.8
522	2018-12-12	14:50:00	4.623	3788.9
523	2018-12-12	15:00:00	4.623	2755.6
524	2018-12-12	15:10:00	4.415	2497.2
525	2018-12-12	15:20:00	4.207	2238.9
526	2018-12-12	15:30:00	4.102	1980.6
527	2018-12-12	15:40:00	3.788	1550
528	2018-12-12	15:50:00	3.261	1636.1
529	2018-12-12	16:00:00	2.624	1377.8
530	2018-12-12	16:10:00	2.195	1022.6
531	2018-12-12	16:20:00	1.764	710.4
532	2018-12-12	16:30:00	1.548	527.4
533	2018-12-12	16:40:00	1.548	215.3
534	2018-12-12	16:50:00	1.003	64.6
535	2018-12-12	17:00:00	0.674	10.8
536	2018-12-12	17:10:00	1.003	0
537	2018-12-12	17:20:00	0.893	0
538	2018-12-12	17:30:00	1.112	0
539	2018-12-12	17:40:00	1.33	0
540	2018-12-12	17:50:00	1.33	0
541	2018-12-12	18:00:00	1.112	0
542	2018-12-12	18:10:00	1.221	0
543	2018-12-12	18:20:00	1.003	0
544	2018-12-12	18:30:00	1.003	0
545	2018-12-12	18:40:00	0.784	0
546	2018-12-12	18:50:00	0.784	0
547	2018-12-12	19:00:00	0.674	0
548	2018-12-12	19:10:00	0.453	0
549	2018-12-12	19:20:00	0.563	0
550	2018-12-12	19:30:00	0.563	0
551	2018-12-12	19:40:00	0.674	0
552	2018-12-12	19:50:00	0.453	0
553	2018-12-12	20:00:00	0.453	0
554	2018-12-12	20:10:00	0.343	0
555	2018-12-12	20:20:00	0.121	0
556	2018-12-12	20:30:00	0.121	0
557	2018-12-12	20:40:00	-0.213	0
558	2018-12-12	20:50:00	-0.213	0
559	2018-12-12	21:00:00	-0.325	0
560	2018-12-12	21:10:00	-0.437	0
561	2018-12-12	21:20:00	-0.662	0
562	2018-12-12	21:30:00	-0.774	0
563	2018-12-12	21:40:00	-0.887	0
564	2018-12-12	21:50:00	-1.001	0
565	2018-12-12	22:00:00	-1.341	0
566	2018-12-12	22:10:00	-1.456	0
567	2018-12-12	22:20:00	-1.341	0
568	2018-12-12	22:30:00	-1.341	0
569	2018-12-12	22:40:00	-1.114	0
570	2018-12-12	22:50:00	-1.001	0
571	2018-12-12	23:00:00	-1.114	0
572	2018-12-12	23:10:00	-1.57	0
573	2018-12-12	23:20:00	-1.799	0
574	2018-12-12	23:30:00	-1.914	0
575	2018-12-12	23:40:00	-1.684	0
576	2018-12-12	23:50:00	-1.57	0
577	2018-12-13	00:00:00	-1.57	0
578	2018-12-13	00:10:00	-1.228	0
579	2018-12-13	00:20:00	-0.887	0
580	2018-12-13	00:30:00	-0.662	0
581	2018-12-13	00:40:00	-0.325	0
582	2018-12-13	00:50:00	-0.213	0
583	2018-12-13	01:00:00	-0.213	0
584	2018-12-13	01:10:00	-0.437	0
585	2018-12-13	01:20:00	-0.774	0
586	2018-12-13	01:30:00	-1.228	0
587	2018-12-13	01:40:00	-1.456	0
588	2018-12-13	01:50:00	-1.456	0
589	2018-12-13	02:00:00	-1.456	0
590	2018-12-13	02:10:00	-1.114	0
591	2018-12-13	02:20:00	-0.774	0
592	2018-12-13	02:30:00	-0.662	0
593	2018-12-13	02:40:00	-0.662	0
594	2018-12-13	02:50:00	-0.549	0
595	2018-12-13	03:00:00	-0.437	0
596	2018-12-13	03:10:00	-0.549	0
597	2018-12-13	03:20:00	-0.549	0
598	2018-12-13	03:30:00	-0.213	0
599	2018-12-13	03:40:00	-0.437	0
600	2018-12-13	03:50:00	-0.774	0
601	2018-12-13	04:00:00	-1.114	0
602	2018-12-13	04:10:00	-1.001	0
603	2018-12-13	04:20:00	-1.001	0
604	2018-12-13	04:30:00	-0.662	0
605	2018-12-13	04:40:00	-0.549	0
606	2018-12-13	04:50:00	-0.437	0
607	2018-12-13	05:00:00	-0.437	0
608	2018-12-13	05:10:00	-0.213	0
609	2018-12-13	05:20:00	-0.325	0
610	2018-12-13	05:30:00	-0.437	0
611	2018-12-13	05:40:00	-0.549	0
612	2018-12-13	05:50:00	-0.213	0
613	2018-12-13	06:00:00	-0.325	0
614	2018-12-13	06:10:00	-0.549	0
615	2018-12-13	06:20:00	-0.437	0
